학원명,주    소,총부지면적(㎡),교육생정원(명)
동남,강원 영월군 영월읍 중앙로 224-21,"10,266",84
홍천,강원 홍천군 북방면 홍천로 205-31,"10,058",154
동해,강원 동해시 새들길 20,"9,226",56
뉴설악,강원 고성군 토성면 동해대로 5213-16,"10,095",98
치악산,강원 원주시 북원로 2638,"9,363",56
용봉,강원 강릉시 성산면 경강로 1377-9,"18,600",104
문막,강원 원주시 문막읍 좁은목길 59,"13,178",98
삼척,강원 삼척시 오십천로 68,"6,700",56
성문,강원 춘천시 영서로 2528,"12,160",221
동송,강원 철원군 동송읍 상노로 519,"18,982",192
신촌,강원 춘천시 동내면 동내로 67-1,"6,817",56
흥업,강원 원주시 흥업면 승안동길 43,"9,986",144
신신,강원 강릉시 경강로2408번길 64,"8,504",56
추암,강원 동해시 공단1로 80,"16,950",98
미래,강원 평창군 진부면 간평길 79-28,"11,330",98
강릉,강원 강릉시 연곡면 동해대로 4100-28,"6,879",56
매지,강원 원주시 흥업면 북원로 1476-9,"9,549",56
나래,강원 홍천군 홍천읍 홍천로 753,"9,270",56
신진,강원 횡성군 횡성읍 입석로 114,"8,533",98
충북,충북 청주시 상당구 사천로18번길 34,"10,177",182
청주,충북 청주시 흥덕구 죽천로79번길 4,"7,528",168
금성,충북 청주시 서원구 구룡산로 228,"12,233",165
영동,충북 영동군 영동읍 성지길 60,"10,410",126
보은,충북 보은군 수한면 정자말길 54-1,"8,034",56
진천,충북 진천군 진천읍 문화6길 41-1,"18,381",144
음성한일,충북 음성군 음성읍 중리길 42,"12,474",132
조양,충북 충주시 샘골길 26,"19,690",247
중앙,충북 충주시 대소원면 완오신촌길 12,"11,557",140
제천,충북 제천시 강저로15길 14,"21,629",154
(제천)현대,충북 제천시 내토로 959,"9,564",98
단양,충북 단양군 매포읍 안동길 77,"9,372",80
옥천,충북 옥천군 군서면 성왕로 854,"8,972",210
교원,충북 청원군 강내면 석화사인길 109-5,"11,485",384
상당,충북 청주시 상당구 무심동로 60,"9,892",238
옥천동원,충북 옥천군 군북면 옥천로 1074,"14,576",252
아주,충북 청주시 서원구 남이면 양촌3길 13,"9,995",182
대영,충북 청원군 내수읍 구성길 17,"14,576",684
(주)삼성,충북 청주시 흥덕구 평동로 29,"6,830",204
좋은,충북 충주시 가금면 첨단산업로 1235,"8,934",98
덕일,충북 청원군 내수읍 은곡묵방길 22-27,"13,275",96
반도,충남 태안군 태안읍 서해로 2120,"9,994",196
서산중앙,충남 서산시 쌍연북3길 17,"9,802",192
(주)당진,충남 당진시 송악읍 광명길 27,"9,143",196
(자)백제,충남 부여군 부여읍 왕릉로 244-7,"18,817",196
조치원문화,세종시 조치원읍 새내로 223,"18,832",195
(주)건양,충남 논산 은진 탑정로 332-22,"10,510",192
천안,충남 천안시 서북구 천안대로 962,"21,608",392
합덕,충남 당진시 우강면 중방로 62-6,"12,112",196
(주)서부,충남 계룡시 엄사면 계백로 3080-10,"9,740",200
제일,충남 보령시 청소면 충서로 3660,"12,818",195
(주)서산,충남 서산시 소탐1로 83,"17,791",196
삼원,충남 천안시 서북구 성거읍 석문길 10-3,"6,817",195
(주)당진충남,충남 당진시 원당로 141-10,"7,982",196
(주)공주,충남 공주시 소학길 17,"9,986",192
(주)뉴보령현대,충남 보령시 대해로 173,"13,554",192
예산,충남 예산군 오가면 오신로 244,"10,900",196
금산,충남 금산군 금산읍 장자길 27,"12,808",196
보령,충남 보령시 중앙로 187-66,"7,973",240
장용,충남 아산시 실옥로 196-7,"16,671",196
영일,충남 천안시 서북구 성환읍 성환2로 8-15,"7,470",126
우석,충남 아산시 배방읍 배방로 194,"16,841",368
서산현대,충남 서산시 음암면 중앙로 734,"21,136",192
중앙삼성,충남 천안시 서북구 부대3길 7,"6,618",196
신홍성,충남 홍성군 홍성읍 충서로1216번길 6-16,"9,717",196
보령동양,충남 보령시 중앙로 187-66,"16,165",390
신관,세종시 장군면 장기초교길 76-15,"11,397",196
세종현대,세종시 전동면 하노장5길 2,"7,359",196
(자)천안대성,충남 천안시 동남구 풍세로 839,"10,284",196
용화,충남 아산시 시민로 215,"8,269",195
서해,충남 서천군 종천면 종판로 62,"9,934",196
(주)삼성,충남 아산시 온천대로 1790-12,"9,413",192
신진,전북 전주시 덕진구 추천로 201,"11,330",56
제일,전북 전주시 완산구 쑥고개로 398-47,"7,083",208
이리,전북 익산시 익산대로33길 46-5,"8,377",84
(유)금강,전북 군산시 공단대로 179,"12,908",224
군산,전북 군산시 개사길 58-2,"8,079",128
정읍,전북 정읍시 충정로 638,"9,980",182
(유)남원,전북 남원시 요천로 1798-6,"18,091",154
오성,전북 군산시 성산면 둔덕3길 48,"9,780",168
스마일,전북 익산시 함열읍 용지길 17,"10,057",182
삼천,전북 전주시 완산구 우림로 1001,"9,990",126
그랜드,전북 전주시 완산구 콩쥐팥쥐로 1713,"9,989",140
아시아,전북 김제시 복죽로 538,"14,860",84
모양,전북 고창군 아산면 봉덕길 4,"15,547",126
동아,전북 전주시 덕진구 추천로 209,"7,249",180
벽성(1),전북 김제시 백산면 옥석길 2,"16,044",84
구룡,전북 정읍시 용북길 57-11,"12,384",96
길,전북 익산시 신왕길 32,"15,718",182
정읍현대,전북 정읍시 영원로 89-14,"7,590",196
(유)참길,전북 부안군 부안읍 부령로 153-17,"12,855",70
(유)전북,전북 전주시 덕진구 초포다리로 117-6,"6,723",56
서신,전북 전주시 덕진구 한내로 21,"16,290",84
(유)강남,전북 익산시 부송로16길 40,"9,412",104
동성,전북 전주시 덕진구 장재길 4,"9,200",169
퍼스트,전북 군산시 개정면 당산1길 20,"9,912",96
우리,전북 익산시 서동로46길 134-32,"9,725",112
가나안,전북 익산시 무왕로 779-26,"13,285",160
(유)호남,전남 목포 연산 109번길39,"15,971",60
(유)남경,전남 목포 옥암 20,"15,290",336
(유)중앙,전남 목포 석현 25번길 15,"17,356",126
동성,전남 여수 신월 496-12,"17,868",70
(주)영진,전남 여수 만흥 231,-,84
(주)여천,전남 여수 소호 271,"14,852",168
여수 아시아,전남 여수 율촌 봉전 72-11,"15,092",90
순천현대,전남 순천 해룡 234-16,"21,400",162
순천대우,전남 순천 별량 대룡 1462,"9,916",140
쌍용,전남 순천 조례 100,"16,885",140
삼성,전남 나주 산포 131,"8,261",112
새천년영산포,전남 나주시 왕곡면 덕산리 224-7,"9,689",98
나주,전남 나주 다시 28,"9,900",120
(유)천관,전남 장흥 장흥 3083,"13,978",135
고흥,전남 고흥 고흥 남계리 56,"12,185",90
해남,전남 해남 해남 2672,"11,822",96
해남대흥,전남 해남 북평 와룡 37,"17,497",96
(유)상무,전남 보성 벌교 210-27,"14,664",195
영광,전남 영광 영광 3462,"13,399",112
화순 신세계,전남 화순 화순 65,"9,900",70
영암 신세계,전남 영암 신북 23,"13,859",128
담양아시아,전남 담양 담양 운교 43,"9,650",96
백양,전남 장성 삼계 29,"11,217",112
우양,전남 담양 봉산 729,"7,175",210
천일,전남 곡성 곡성 277,"11,982",48
(유)강진,전남 강진 성전 629-21,"12,445",84
무안,전남 무안 망운 195,"8,425",84
목포,전남 무안 청계 1743-27,"9,415",28
(주)동광양,전남 광양 도이 89,"10,569",36
구례세운,전남 구례 용방 198,"9,996",84
영주,경북 영주시 필두길50번길 99,"12,691",168
경의,경북 의성군 의성읍 북원3길 51-7,"12,342",60
(김천)현대,경북 김천시 시청로 114,"12,747",120
포항영남,경북 포항시 북구 우창로 111,"77,229",216
천마,경북 경주시 광중길 14,"9,551",210
(영천)현대,경북 영천시 망정1길 80,"7,890",192
대영,경북 영주시 번영로24번길 23,"8,678",140
새한일,경북 상주시 경상대로 2725,"9,404",168
(경산)남부,경북 경산시 중방로 124,"8,842",465
예천,경북 예천군 예천읍 도효자로 62-15,"12,957",64
(영천)성림,경북 영천시 금호읍 금호로 338-40,"9,106",704
봉화,경북 봉화군 봉화읍 꽃동네길 18-6,"9,455",45
구미,경북 구미시 고아읍 선산대로 468,"7,343",144
안동새한,경북 안동시 강남로 108,"19,466",429
경주,경북 경주 안강 새안현로 1144,"11,219",336
(주)진성,경북 영덕군 영덕읍 남산길 22-6,"8,052",28
하양,경북 경산시 진량읍 금호강변로 860,"8,962",160
쌍용,경북 경산시 진량읍 대학로 1333,"10,322",135
